Iteration,Collisions,Consecutive
5543,1,0
7362,2,0
7641,3,0
8352,4,0
9300,5,0
10448,6,0
10718,7,0
11408,8,0
11458,9,0
11688,10,0
12185,11,0
12246,12,0
12638,13,0
15897,14,0
17351,15,0
18294,16,0
18996,17,0
21398,18,0
22155,19,0
23694,20,0
23770,21,0
23922,22,0
24287,23,0
25117,24,0
25725,25,0
25940,26,0
26848,27,0
27076,28,0
29152,29,0
29194,30,0
29558,31,0
29871,32,0
30469,33,0
31750,34,0
31847,35,0
32131,36,0
32416,37,0
32529,38,0
32569,39,0
33181,40,0
35139,41,0
35142,42,0
36766,43,0
37803,44,0
38039,45,0
38100,46,0
38190,47,0
38582,48,0
38622,49,0
38939,50,0
39145,51,0
39292,52,0
39588,53,0
41087,54,0
41555,55,0
41724,56,0
41769,57,0
41778,58,0
41830,59,0
42045,60,0
42128,61,0
42678,62,0
43398,63,0
43600,64,0
43747,65,0
43811,66,0
43843,67,0
44073,68,0
44425,69,0
45105,70,0
45757,71,0
45939,72,0
46079,73,0
47043,74,0
47372,75,0
47770,76,0
47866,77,0
48733,78,0
48917,79,0
48967,80,0
49034,81,0
49233,82,0
49302,83,0
49309,84,0
49611,85,0
49776,86,0
49784,87,0
50374,88,0
51072,89,0
51283,90,0
51615,91,0
51882,92,0
52113,93,0
52580,94,0
52692,95,0
52877,96,0
53177,97,0
53205,98,0
53596,99,0
54083,100,0
54470,101,0
54501,102,0
55357,103,0
55496,104,0
56066,105,0
56189,106,0
56982,107,0
57256,108,0
57527,109,0
57652,110,0
58419,111,0
58995,112,0
59191,113,0
59317,114,0
59546,115,0
59840,116,0
59982,117,0
60066,118,0
60570,119,0
60622,120,0
60661,121,0
60680,122,0
60715,123,0
60723,124,0
61047,125,0
61230,126,0
61265,127,0
61426,128,0
61524,129,0
61538,130,0
61750,131,0
61781,132,0
61974,133,0
62391,134,0
62496,135,0
62615,136,0
63498,137,0
63642,138,0
63664,139,0
63940,140,0
64230,141,0
64370,142,0
64759,143,0
64897,144,0
66107,145,0
66324,146,0
66348,147,0
66460,148,0
66511,149,0
66767,150,0
66968,151,0
66969,152,0
67048,153,0
68676,154,0
68807,155,0
68823,156,0
68909,157,0
69192,158,0
69195,159,0
69300,160,0
69442,161,0
69720,162,0
69872,163,0
70078,164,0
70159,165,0
70578,166,0
70802,167,0
70999,168,0
71063,169,0
71540,170,0
71554,171,0
71584,172,0
71637,173,0
71649,174,0
71654,175,0
71748,176,0
71989,177,0
72056,178,0
72413,179,0
72842,180,0
73313,181,0
73411,182,0
73435,183,0
73624,184,0
73718,185,0
73812,186,0
73830,187,0
74038,188,0
74351,189,0
74467,190,0
74752,191,0
74895,192,0
74949,193,0
75070,194,0
75874,195,0
76020,196,0
76076,197,0
76249,198,0
76250,199,0
76258,200,0
76281,201,0
76308,202,0
76388,203,0
76514,204,0
76783,205,0
76954,206,0
77154,207,0
77286,208,0
77430,209,0
77740,210,0
77841,211,0
78392,212,0
78407,213,0
78742,214,0
79087,215,0
79138,216,0
79315,217,0
79374,218,0
79387,219,0
79784,220,0
80277,221,0
80327,222,0
80352,223,0
80388,224,0
80464,225,0
80719,226,0
80977,227,0
81208,228,0
81651,229,0
81716,230,0
82081,231,0
82757,232,0
82778,233,0
83022,234,0
83054,235,0
83244,236,0
83450,237,0
83612,238,0
83638,239,0
83786,240,0
84312,241,0
84373,242,0
84429,243,0
84770,244,0
84805,245,0
84910,246,0
85080,247,0
85094,248,0
85132,249,0
85160,250,0
85189,251,0
85217,252,0
85289,253,0
85428,254,0
85987,255,0
86028,256,0
86084,257,0
86795,258,0
87203,259,0
87220,260,0
87319,261,0
87489,262,0
87667,263,0
87738,264,0
88250,265,0
88512,266,0
89086,267,0
89270,268,0
89538,269,0
89589,270,0
89922,271,0
89966,272,0
90183,273,0
90320,274,0
90603,275,0
90673,276,0
90825,277,0
91443,278,0
91485,279,0
91554,280,0
92626,281,0
92850,282,0
92925,283,0
93056,284,0
93097,285,0
93107,286,0
93120,287,0
93183,288,0
93277,289,0
93411,290,0
93657,291,0
93791,292,0
93803,293,0
93876,294,0
93879,295,0
94177,296,0
94261,297,0
94275,298,0
94431,299,0
94461,300,0
94513,301,0
94941,302,0
94968,303,0
95195,304,0
95246,305,0
95583,306,0
95767,307,0
95924,308,0
95955,309,0
96101,310,0
96226,311,0
96235,312,0
96254,313,0
97144,314,0
97599,315,0
98116,316,0
98714,317,0
98873,318,0
98927,319,0
98987,320,0
99165,321,0
99472,322,0
99729,323,0
99777,324,0
99796,325,0
100044,326,0
100057,327,0
100340,328,0
100490,329,0
100588,330,0
100665,331,0
100726,332,0
100775,333,0
100777,334,0
100881,335,0
101248,336,0
101264,337,0
101272,338,0
101363,339,0
101513,340,0
101621,341,0
101639,342,0
101707,343,0
101768,344,0
102045,345,0
102182,346,0
102226,347,0
102282,348,0
102497,349,0
102592,350,0
102899,351,0
102992,352,0
103019,353,0
103325,354,0
103340,355,0
103655,356,0
104049,357,0
104384,358,0
104498,359,0
104710,360,0
105043,361,0
105180,362,0
105186,363,0
105336,364,0
105377,365,0
105422,366,0
105731,367,0
105869,368,0
106532,369,0
106543,370,0
106602,371,0
106644,372,0
106866,373,0
106971,374,0
107161,375,0
107202,376,0
107366,377,0
107475,378,0
107478,379,0
107586,380,0
107731,381,0
107842,382,0
107987,383,0
107993,384,0
108030,385,0
108234,386,0
108256,387,0
108330,388,0
108388,389,0
108434,390,0
108576,391,0
108609,392,0
108625,393,0
108639,394,0
108766,395,0
108840,396,0
109041,397,0
109291,398,0
109368,399,0
109385,400,0
109754,401,0
109765,402,0
109806,403,0
110564,404,0
110757,405,0
110938,406,0
111080,407,0
111225,408,0
111753,409,0
111827,410,0
112086,411,0
112232,412,0
112418,413,0
112802,414,0
112999,415,0
113008,416,0
113351,417,0
113559,418,0
113595,419,0
114123,420,0
114351,421,0
114686,422,0
114847,423,0
114868,424,0
115191,425,0
115394,426,0
115488,427,0
115490,428,0
115528,429,0
115733,430,0
115743,431,0
115984,432,0
116153,433,0
116735,434,0
116761,435,0
116892,436,0
116917,437,0
117011,438,0
117140,439,0
117296,440,0
117388,441,0
117439,442,0
117534,443,0
117567,444,0
117628,445,0
117667,446,0
117702,447,0
117707,448,0
117843,449,0
117930,450,0
118014,451,0
118028,452,0
118172,453,0
118251,454,0
118381,455,0
118457,456,0
118892,457,0
119176,458,0
119200,459,0
119330,460,0
119610,461,0
119648,462,0
119680,463,0
119733,464,0
119763,465,0
119845,466,0
120101,467,0
120231,468,0
120422,469,0
120445,470,0
120467,471,0
120727,472,0
120903,473,0
121227,474,0
121233,475,0
121238,476,0
121304,477,0
121431,478,0
122147,479,0
122285,480,0
122714,481,0
122716,482,0
122768,483,0
123018,484,0
123054,485,0
123162,486,0
123283,487,0
123469,488,0
124188,489,0
124219,490,0
124527,491,0
124587,492,0
124591,493,0
124633,494,0
124906,495,0
124933,496,0
125192,497,0
125269,498,0
125350,499,0
125414,500,0
125447,501,0
125542,502,0
125576,503,0
125689,504,0
125802,505,0
126091,506,0
126270,507,0
126504,508,0
126514,509,0
126614,510,0
126650,511,0
126971,512,0
127241,513,0
127352,514,0
127458,515,0
127562,516,0
127634,517,0
127720,518,0
127752,519,0
127840,520,0
128059,521,0
128096,522,0
128113,523,0
128534,524,0
128685,525,0
129038,526,0
129081,527,0
129382,528,0
129579,529,0
129698,530,0
129758,531,0
129864,532,0
130024,533,0
130028,534,0
130030,535,0
130181,536,0
130550,537,0
130640,538,0
130677,539,0
130717,540,0
130758,541,0
130832,542,0
130855,543,0
131023,544,0
131098,545,0
131314,546,0
131422,547,0
131537,548,0
131758,549,0
131983,550,0
132189,551,0
132194,552,0
132242,553,0
132247,554,0
132467,555,0
132529,556,0
132787,557,0
132862,558,0
132867,559,0
132954,560,0
132998,561,0
133101,562,0
133271,563,0
133391,564,0
133531,565,0
134345,566,0
134437,567,0
134800,568,0
135063,569,0
135125,570,0
135181,571,0
135259,572,0
135284,573,0
135303,574,0
135332,575,0
135362,576,0
135378,577,0
135388,578,0
135415,579,0
135566,580,0
136006,581,0
136035,582,0
136152,583,0
136189,584,0
136191,585,0
136211,586,0
136312,587,0
136338,588,0
136624,589,0
136653,590,0
136686,591,0
136702,592,0
136729,593,0
136958,594,0
137003,595,0
137196,596,0
137226,597,0
137237,598,0
137245,599,0
137514,600,0
137555,601,0
137654,602,0
137804,603,0
137815,604,0
137965,605,0
137981,606,0
138084,607,0
138264,608,0
138393,609,0
138672,610,0
139211,611,0
139436,612,0
139594,613,0
139596,614,0
139746,615,0
139938,616,0
139946,617,0
140025,618,0
140093,619,0
140293,620,0
140388,621,0
140507,622,0
140674,623,0
140720,624,0
140735,625,0
140899,626,0
140901,627,0
141050,628,0
141129,629,0
141328,630,0
141447,631,0
141622,632,0
141754,633,0
141798,634,0
141924,635,0
141970,636,0
141980,637,0
142051,638,0
142332,639,0
142389,640,0
142696,641,0
142699,642,0
143330,643,0
143341,644,0
143485,645,0
143639,646,0
143751,647,0
143816,648,0
143841,649,0
143935,650,0
144235,651,0
144251,652,0
144311,653,0
144336,654,0
144426,655,0
144445,656,0
144926,657,0
145037,658,0
145052,659,0
145058,660,0
